Relatório de Ads de palavras-chave - Shopee Brazil
Nome de Usuário:,wk1modas
Data de Criação do Relatório:,15/05/2023 09:03
Período:,09/05/2023 - 15/05/2023
ID da Loja:,447216642

#,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,VBM Direto,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
42,Macacão Jardineira Bengaline Longo Várias Cores,Encerrado,12061861899,Anúncio de Busca de Produtos,Tudo,24/02/2023 00:00,02/03/2023 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
43,15754795611,Encerrado,15754795611,Anúncio de Busca de Produtos,Tudo,22/12/2022 00:00,23/12/2022 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
44,15754795611,Encerrado,15754795611,Anúncios Descoberta,Tudo,22/12/2022 00:00,31/01/2023 16:12,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
45,3052964769,Encerrado,3052964769,Anúncio de Busca de Produtos,Tudo,10/11/2022 00:00,22/12/2022 17:04,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
46,3052964769,Encerrado,3052964769,Anúncios Descoberta,Tudo,10/11/2022 00:00,22/12/2022 17:04,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
47,8984555428,Encerrado,8984555428,Anúncio de Busca de Produtos,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
48,8984555428,Encerrado,8984555428,Anúncios Descoberta,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
49,17707459587,Encerrado,17707459587,Anúncios Descoberta,Tudo,21/02/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
50,7491330687,Encerrado,7491330687,Anúncios Descoberta,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
51,3052896350,Encerrado,3052896350,Anúncios Descoberta,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
52,14753893674,Encerrado,14753893674,Anúncio de Busca de Produtos,Tudo,17/02/2022 13:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
53,10622355186,Encerrado,10622355186,Anúncios Descoberta,Tudo,07/02/2022 01:30,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
54,14753893674,Encerrado,14753893674,Anúncios Descoberta,Tudo,18/02/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
55,12775294998,Encerrado,12775294998,Anúncio de Busca de Produtos,Tudo,01/03/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
56,11122365968,Encerrado,11122365968,Anúncios Descoberta,Tudo,07/02/2022 01:30,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
57,11779357972,Encerrado,11779357972,Anúncios Descoberta,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
58,15382955905,Encerrado,15382955905,Anúncios Descoberta,Tudo,13/05/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
59,15382955905,Encerrado,15382955905,Anúncio de Busca de Produtos,Tudo,11/05/2022 00:00,31/05/2022 23:59,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
60,15048772735,Encerrado,15048772735,Anúncio de Busca de Produtos,Tudo,01/03/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
61,12775294998,Encerrado,12775294998,Anúncios Descoberta,Tudo,10/02/2022 13:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
62,7491330687,Encerrado,7491330687,Anúncio de Busca de Produtos,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
63,15048772735,Encerrado,15048772735,Anúncios Descoberta,Tudo,10/02/2022 13:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
64,11122365968,Encerrado,11122365968,Anúncio de Busca de Produtos,Tudo,07/02/2022 01:30,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
65,11779357972,Encerrado,11779357972,Anúncio de Busca de Produtos,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
66,10622355186,Encerrado,10622355186,Anúncio de Busca de Produtos,Tudo,07/02/2022 01:30,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
67,3052896350,Encerrado,3052896350,Anúncio de Busca de Produtos,Tudo,24/01/2022 15:56,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
68,17707459587,Encerrado,17707459587,Anúncio de Busca de Produtos,Tudo,20/02/2022 13:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
